name_clean,orbital_period,semi_major_axis,DL,star_mass,mass,method,M_lens,pi_rel,theta_E,te,thetas,s,q,u0,rho,piEE,piEN,r_s,a_s,v_para,v_perp,v_radial,DS,t0,W149,u,g,r,i,z,Y,alpha
tic172900988b,188.763,0.867,246.263,2.4398,2.84,Transit,2.442511047624473,0.003928929667016496,8.840368448540236,26.394476894253696,0.00017658963111707594,0.3982442974813524,0.0011111761720111824,2.112777219523105,1.997537004764041e-05,-1.6084935333360445e-12,2.6407409631301524e-13,5.022043034008915,1,1.450227473870378,34.26679350132442,34.67933542125428,7589.0,2461638.763828608,22.4738,29.688,26.448,25.053,23.595,22.889,22.581,3.141592653589793
hd116029ab,670.2,1.73,123.2,1.58,2.1,Radial Velocity,1.5820046478913357,0.007989882862882608,10.145864408591823,58.14248488632999,0.00021825004489919373,1.3840326685537436,0.0012687644881870775,-0.6615063707858172,2.1511232174005107e-05,-2.2782630257368343e-12,5.255053416648719e-12,1.4450525955358529,1,-1.1209585965661977,-0.02679769516098221,4.169503964816677,7874.0,2461638.763828608,23.6568,30.816,27.644,26.265,24.797,24.077,23.761,3.141592653589793
hd80606b,111.436765,0.4603,58.4,0.98,4.1641,Radial Velocity,0.9839750258496717,0.015225754464401756,11.0457807653848,26.956751459976495,0.0025962059264573616,0.7135619909973757,0.004056148826195578,0.6878579453451666,0.00023504050837160702,8.931108680277544e-13,2.994591222437217e-12,2.8028398726850847,1,18.260289437559646,56.24195048557554,23.940780997004644,527.0,2461638.763828608,23.6808,29.492,26.675,25.41,24.43,23.945,23.73,3.141592653589793
gj674b,4.6944,0.039,4.54,0.35,0.04,Radial Velocity,0.3500381837693587,0.2200972048811515,25.04839739784095,158.77445672917167,0.00031344270550987306,0.3429484223523415,0.00010909648388220858,2.5729419413963237,1.2513483418978744e-05,-1.5011639805764523e-11,5.944246190242253e-12,5.83178072749733,1,-1094.3641384913487,1205.7882246312552,-1441.653273142875,5984.0,2461638.763828608,20.0358,25.267,22.747,21.593,20.71,20.282,20.072,3.141592653589793
toi858bb,3.2797178,0.04445,251.7,1.08,1.1,Transit,1.0810500536573664,0.0037931922688394216,5.778835073765082,11.243935861589565,0.0014822408143690038,0.030559641119594038,0.000972271904968757,32.69233772820934,0.00025649474253005113,3.155958120027115e-12,4.312944117553385e-12,65.44579473865787,1,22380.595816968576,29680.381914097245,-21430.024686372202,5562.0,2461638.763828608,17.1748,17.159,16.158,16.247,16.4,16.527,16.558,3.141592653589793
wasp53b,3.3098443,0.04101,235.0,0.839,2.132,Transit,0.8410351949068225,0.0015452920486651676,3.253324174815269,11.125685876021276,0.004281770503207972,0.05364071605553462,0.002425738863912516,18.58891429690687,0.0013161216875816257,-1.8162077651002749e-12,1.2897075887943127e-12,37.285110025924816,1,-4750.637980470728,5168.643365979746,25624.682385450644,369.0,2461638.763828608,24.1108,30.819,27.715,26.352,25.084,24.465,24.195,3.141592653589793
toi1416b,1.0697564,0.019,55.044,0.798,0.01095,Transit,0.7980104528068619,0.017805096741151088,10.757006453394084,35.604927304826916,0.00044420490063374826,0.03208870462501655,1.3098755466120434e-05,31.13152514909203,4.1294471892186264e-05,9.001201836373151e-12,9.506767576071957e-13,62.3272277074341,1,23025.422072327576,-117625.07985532779,-47358.59738087151,2761.0,2461638.763828608,23.6038,30.028,27.054,25.736,24.527,23.931,23.672,3.141592653589793
kepler62b,5.714932,0.0553,368.0,0.69,0.03,Transit,0.690028637827019,0.002590680711342251,3.8155352820322004,27.854056991139885,0.00015415679608737088,0.03938418282700251,4.150409712910108e-05,25.35151968313773,4.040240351421022e-05,-2.538514662417227e-12,3.930008152188377e-12,50.78180773192947,1,14653.633904497492,877.8485347369597,-6683.593388858451,7892.0,2461638.763828608,24.4618,30.008,27.25,25.99,25.123,24.692,24.495,3.141592653589793
hd40307f,51.68,0.2485,12.8,0.77,0.0114,Radial Velocity,0.7700108823742673,0.07798319625638117,22.113827499048693,117.76050815768615,0.00027310990334618735,0.8779150737625662,1.4132953593831565e-05,0.26114726824074685,1.2350186929781204e-05,-7.137226423023862e-12,2.254237648529145e-11,2.278124684006626,1,-101.72464947213352,60.752460788452666,-79.49776339239132,7052.0,2461638.763828608,19.9038,24.855,22.362,21.202,20.475,20.115,19.932,3.141592653589793
gj6601ab,618.54,1.116,23.113,0.44,44.0,Radial Velocity,0.48200214629465027,0.04261634398137665,12.933841990563401,30.74421774537353,0.000792736822076695,3.733191981401992,0.09545942339693249,-3.4653246965203683,6.129167363070308e-05,1.702040607062487e-11,1.5573553887386902e-11,0.5357345697632471,1,3.576098260573361,-3.7383822485374822,-1.954507327399318,1540.0,2461638.763828608,24.5908,30.062,27.305,26.031,25.215,24.809,24.619,3.141592653589793
toi4087b,3.1774835,0.04469,310.4,1.178,0.73,Transit,1.1786968537907974,0.0028832400090707698,5.260856192563997,38.09846540314693,0.0004966978349507413,0.027367316306311694,0.0005915566984699552,36.51256918339977,9.441387804000482e-05,-2.645249352797267e-12,3.639475977926192e-12,73.07987299941216,1,-48082.2718679439,-13416.797729040849,4919.451281617938,2955.0,2461638.763828608,22.9328,29.945,26.812,25.443,24.026,23.332,23.028,3.141592653589793
hd27894b,18.02,0.125,42.37,0.8,0.665,Radial Velocity,0.8006348051655895,0.022986976759164553,12.2425851011013,37.83143898402132,0.0009125616194333818,0.24097856696755474,0.0007935064569870014,3.9087680789017423,7.453994494604665e-05,-9.393342571517124e-12,1.0611055371522287e-12,8.299493291738594,1,-678.3749844272272,-245.13798892275452,-851.6079064135397,1627.0,2461638.763828608,24.7118,30.258,27.563,26.342,25.418,24.963,24.754,3.141592653589793
