time,A_true,A_observed_blended,flux_unblended,flux_blended,mag_unblended,mag_blended,mag_observed,mag_sigma,mag_baseline_blended
-30.67669172932331,1.1252051180442983,1.0322107454027682,18.332922347354884,65.37168550172878,24.341920752737625,22.961525793296417,22.961525793296417,0.0,22.995946732797492
-30.275689223057647,1.1295130655613526,1.0333190243840733,18.40311156533845,65.44187471971233,24.33777185261075,22.960360669706283,22.960360669706283,0.0,22.995946732797492
-29.874686716791985,1.1340002708762449,1.0344734199089975,18.47622142351039,65.51498457788428,24.333467104260237,22.959148392188112,22.959148392188112,0.0,22.995946732797492
-29.473684210526315,1.1386755719602082,1.035676205667672,18.552395918585365,65.59115907295926,24.328999990455387,22.95788673633911,22.95788673633911,0.0,22.995946732797492
-29.072681704260653,1.14354832165749,1.03692978780842,18.63178743608364,65.67055059045754,24.324363697918965,22.956573356288967,22.956573356288967,0.0,22.995946732797492
-28.67167919799499,1.1486284233347597,1.038236714109059,18.71455733116546,65.75332048553935,24.31955110276661,22.95520577697632,22.95520577697632,0.0,22.995946732797492
-28.270676691729328,1.153926369474238,1.0395996839055166,18.800876557427372,65.83963971180125,24.31455475514143,22.953781385847485,22.953781385847485,0.0,22.995946732797492
-27.869674185463666,1.1594532834983873,1.04102155885181,18.89092634835024,65.92968950272413,24.30936686298886,22.952297423926467,22.952297423926467,0.0,22.995946732797492
-27.468671679197996,1.165220965146738,1.0425053745938588,18.98489895662211,66.023662110996,24.303979274911754,22.950750976199938,22.950750976199938,0.0,22.995946732797492
-27.067669172932334,1.1712419397624723,1.0440543534491429,19.082998457162514,66.1217616115364,24.298383462039975,22.949138961255024,22.949138961255024,0.0,22.995946732797492
-26.66666666666667,1.1775295118882754,1.0456719181949716,19.185441620357587,66.22420477473148,24.29257049884243,22.94745812010116,22.94745812010116,0.0,22.995946732797492
-26.265664160401002,1.1840978236184754,1.0473617070803798,19.292458862789143,66.33122201716303,24.28653104280228,22.945705004099832,22.945705004099832,0.0,22.995946732797492
-25.86466165413534,1.190961918208453,1.0491275901905261,19.404295283620286,66.44305843799418,24.280255312868086,22.94387596191776,22.94387596191776,0.0,22.995946732797492
-25.463659147869677,1.1981378095036763,1.0509736873082702,19.5212117957999,66.5599749501738,24.273733066584406,22.941967125409743,22.941967125409743,0.0,22.995946732797492
-25.062656641604015,1.205642557820682,1.0529043874356034,19.64348636238847,66.68224951676235,24.266953575795288,22.939974394326715,22.939974394326715,0.0,22.995946732797492
-24.661654135338352,1.2134943529922153,1.0549243701581585,19.77141534960926,66.81017850398315,24.259905600802355,22.937893419732973,22.937893419732973,0.0,22.995946732797492
-24.260651629072683,1.2217126053801324,1.0570386290595337,19.90531500971791,66.94407816409179,24.252577362846065,22.93571958600279,22.93571958600279,0.0,22.995946732797492
-23.85964912280702,1.230318045764435,1.0592524974191275,20.045523108490528,67.08428626286442,24.24495651476381,22.933447991251654,22.933447991251654,0.0,22.995946732797492
-23.45864661654136,1.239332835137156,1.0615716764581309,20.1924007140911,67.23116386846499,24.237030109661635,22.931073426040015,22.931073426040015,0.0,22.995946732797492
-23.05764411027569,1.2487806855683066,1.0640022664339621,20.346334166335573,67.38509732070946,24.228784567416895,22.928590350167976,22.928590350167976,0.0,22.995946732797492
-22.656641604010026,1.2586869934708722,1.0665508009245257,20.50773724797315,67.54650040234704,24.220205638807396,22.925992867356946,22.925992867356946,0.0,22.995946732797492
-22.255639097744364,1.2690789867765173,1.0692242846911955,20.67705358261421,67.7158167369881,24.211278367037377,22.92327469758903,22.92327469758903,0.0,22.995946732797492
-21.8546365914787,1.2799858877476376,1.0720302355644629,20.854759287420617,67.8935224417945,24.201987046402035,22.92042914684585,22.92042914684585,0.0,22.995946732797492
-21.45363408521304,1.2914390933998674,1.0749767308601184,21.041365912722465,68.08012906709635,24.19231517779961,22.91744907395546,22.91744907395546,0.0,22.995946732797492
-21.05263157894737,1.30347237579842,1.0780724589082502,21.237423705438417,68.2761868598123,24.182245420762406,22.914326854217837,22.914326854217837,0.0,22.995946732797492
-20.651629072681708,1.3161221048291472,1.0813267763641758,21.443525238675733,68.48228839304963,24.171759541635133,22.91105433943602,22.91105433943602,0.0,22.995946732797492
